category,channel,crawled,etc,grouped_by_shop,maker,nReview,nSold,options,price,productName,site_productID,updateDate,url
air conditioner,amazon,,,,,"2,056",,,16900,"MIDEA MAW05M1BWT Window air conditioner 5000 BTU with Mechanical Controls, 7 temperature settings, 2 cooling and fan settings,110V, White",,,/MAW05M1BWT-conditioner-Mechanical-Controls-temperature/dp/B085797ZFF/ref=sr_1_4?dchild=1&keywords=air+conditioner&qid=1592307818&sr=8-4#customerReviews
air conditioner,amazon,,,,,225,,,5799,"SHSTFD Portable Air Conditioner Fan, Personal Quiet 3 Speeds Desk Fan with 7 Colors Night Light for Home Office",,,/SHSTFD-Portable-Conditioner-Personal-Speeds/dp/B0895FLXRB/ref=sr_1_5?dchild=1&keywords=air+conditioner&qid=1592307818&sr=8-5#customerReviews
air conditioner,amazon,,,,,"1,383",,,33900,"Midea U Inverter Window Air Conditioner 8,000BTU, The First U-Shaped AC with Open Window Flexibility, Robust Installation,Extreme Quiet, 35% Energy Saving, WiFi,Alexa,Remote, Bracket Included",,,/Midea-Inverter-Conditioner-Flexibility-Installation/dp/B08677DCKN/ref=sr_1_6?dchild=1&keywords=air+conditioner&qid=1592307818&sr=8-6#customerReviews
air conditioner,amazon,,,,,"2,056",,,29900,"MIDEA EasyCool Window Air Conditioner - Cooling, Dehumidifier, Fan with remote control - 8,000 BTU, Rooms up to 350 Sq. Ft. (MAW08R1BWT Model)",,,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0126556HKFWM67VFA8W&url=%2FMIDEA-MAW08R1BWT-Conditioner-Dehumidifier-Functions%2Fdp%2FB07PDXKSGJ%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dair%2Bconditioner%26qid%3D1592307818%26sr%3D8-7-spons%26psc%3D1&qualifier=1598408278&id=7858116766542760&widgetName=sp_mtf#customerReviews
air conditioner,amazon,,,,,82,,,3999,"Portable Air Conditioner Fan, Personal Space Evaporative Air Cooler Rechargeable USB Desk Fan with LED Light, 3 Speeds, Quiet Humidifier Misting Cooling Fan for Bedroom, Home, Office",,,/Portable-Conditioner-Evaporative-Rechargeable-Humidifier/dp/B08DTPRNPK/ref=sr_1_8?dchild=1&keywords=air+conditioner&qid=1592307818&sr=8-8#customerReviews
air conditioner,amazon,,,,,32,,,3299,"Kloudi Portable Air Conditioner Fan, Air Cooler, Evaporative Cool, Personal Oscillating Desk Fan, Mist Humidifiers Air Circulator with 2H/4H/6H Timer, Perfect for Bedroom, Office, Home",,,/Kloudi-Conditioner-Evaporative-Oscillating-Humidifiers/dp/B08FR7PNJK/ref=sr_1_9?dchild=1&keywords=air+conditioner&qid=1592307818&sr=8-9#customerReviews
air conditioner,amazon,,,,,575,,,31600,"AmazonBasics Window-Mounted Air Conditioner with Remote - Cools 400 Square Feet, 10000 BTU, AC Unit",,,/AmazonBasics-Window-Mounted-Air-Conditioner-Remote/dp/B07N6LKT54/ref=sr_1_10?dchild=1&keywords=air+conditioner&qid=1592307818&sr=8-10#customerReviews
air conditioner,amazon,,,,,83,,,18999,"AmazonBasics Window-Mounted Air Conditioner with Remote - Cools 250 Square Feet, 6000 BTU, Energy Star, Energy Star",,,/AmazonBasics-Window-Mounted-Air-Conditioner-Remote/dp/B07Y2CND3Q/ref=sr_1_11?dchild=1&keywords=air+conditioner&qid=1592307818&sr=8-11#customerReviews
air conditioner,amazon,,,,,554,,,29900,"MIDEA MAP08R1CWT 3-in-1 Portable Air Conditioner, Dehumidifier, Fan, for Rooms up to 150 sq ft, 8,000 BTU (5,300 BTU SACC) control with Remote",,,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08262531HY5PP1ENG9WZ&url=%2FMAP08R1CWT-Portable-Conditioner-Dehumidifier-control%2Fdp%2FB087CQVC9G%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dair%2Bconditioner%26qid%3D1592307818%26sr%3D8-12-spons%26psc%3D1&qualifier=1598408278&id=7858116766542760&widgetName=sp_mtf#customerReviews
air conditioner,amazon,,,,,134,,,59999,"De'Longhi 3-in-1 Portable Air Conditioner, Dehumidifier & Fan + Cool Surround Remote w/Built-in Temperature Control Sensor, 700 sq ft, XLarge Room, 8600 (DOE) / 14000 BTU (ASHRAE), Black, PACEX390LVYN",,,/DeLonghi-Conditioner-Dehumidifier-Temperature-PACEX390LVYN/dp/B084SY2D84/ref=sr_1_13?dchild=1&keywords=air+conditioner&qid=1592307818&sr=8-13#customerReviews
