category,channel,etc,maker,nReview,nSold,options,price,productName,site_productID,updateDate,url
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61b2zTKlmPL._AC_UL320_.jpg,,76,,,4985,"ROSILY 2200W Salon Hair Dryer, Professional 2 in 1 Blow Styling Blowdryer, Low Noise Salon Long Cord, With Concentrator, Comb Nozzle, 4 Speed 6 Heat Settings, 20 Year Lifespan",,,/Professional-Blowdryer-Concentrator-Settings-Lifespan/dp/B07T6C85NM/ref=sr_1_148?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-148#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/71vy46A5DRL._AC_UL320_.jpg,,813,,,1999,"Conair 1875 Watt 3-in-1 Styling Hair Dryer; 3 Attachments to Detangle / Straighten / Volumize , Black/Silver",,,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg5_4?ie=UTF8&adId=A04851131BP4V2UPI04KH&url=%2FConair-Attachments-Detangle-Straighten-Volumize%2Fdp%2FB000YDL5SE%2Fref%3Dsr_1_252_sspa%3Fdchild%3D1%26keywords%3Dhair%2Bdryer%26qid%3D1592307818%26sr%3D8-252-spons%26psc%3D1&qualifier=1592313581&id=7015465295405546&widgetName=sp_btf#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/51RAphI+j-L._AC_UL320_.jpg,,60,,,2698,"Milantia Hair Dryer Folding, Professional Powerful 1600W Negative Ion Ceramic Tourmaline Lightweight Travel Blow Dryer, Portable Compact Size Quiet Small Hair Dryer with Concentrator/Nozzle",,,/Milantia-Professional-Tourmaline-Lightweight-Concentrator/dp/B083FJ8FRP/ref=sr_1_197?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-197#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/81T0Th9mUwL._AC_UL320_.jpg,,51,,,5995,"[Newest 2020] Professional Ionic Salon Hair Dryer, 2200 Watt Powerful AC Motor Ceramic Tourmaline Ion Blow Dryer, Quiet Hair Dryers with Diffuser & 2 Concentrator Nozzle Attachments Black/Red",,,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0477469125B3BSNIN07J&url=%2FProfessional-Powerful-Tourmaline-Concentrator-Attachments%2Fdp%2FB083SFRJ3Z%2Fref%3Dsr_1_105_sspa%3Fdchild%3D1%26keywords%3Dhair%2Bdryer%26qid%3D1592307818%26sr%3D8-105-spons%26psc%3D1&qualifier=1592313582&id=6213191549688123&widgetName=sp_btf#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/71QHz254Y6L._AC_UL320_.jpg,,395,,,3199,"One Step Hair Dryer and Styler, Hair Dryer Brush, 3 in 1 Hot Air Brush - Negative Ion Hair Dryer, Straightener & Curler",,,/Step-Hair-Dryer-Styler-Brush/dp/B07YJ9Z43T/ref=sr_1_53?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-53#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/71z+jJs1kaL._AC_UL320_.jpg,,52,,,3599,Hair Dryer - 3 Heat Settings & 2 Speed Settings with Cool Blast - Quick Drying 2000W Motor w/Dual-Voltage Outlets - 2 Diffrent Size Diffuser - LUV Professional (Black),,,/Hair-Dryer-Settings-Dual-Voltage-Professional/dp/B07D1SMDC5/ref=sr_1_295?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-295#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/711lb4Bd4aL._AC_UL320_.jpg,,"1,224",,,3191,"Conair 1875W Cord Keeper Hair Dryer, Black - Amazon Exclusive",,,/Conair-1875W-Keeper-Dryer-Black/dp/B06X3VQ6ZY/ref=sr_1_149?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-149#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61e9aKW3HiL._AC_UL320_.jpg,,86,,,1599,"Universal Hair Diffuser-Adaptable for hair Dryers with D-1.4-Inch to 2.6-Inch,Professional Blow Dryer Diffuser to Maximize Frizz-Free Volume And Enhance Natural Curly Hair (Black)",,,/Universal-Diffuser-Adaptable-D-1-4-Inch-Professional-Frizz-Free/dp/B07VF4LJNT/ref=sr_1_198?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-198#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61--oaCcioL._AC_UL320_.jpg,,683,,,9999,"BaBylissPRO BABTTW5586 Tourmaline Titanium 5000 Dryer, White",,,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_2?ie=UTF8&adId=A02713462RMA27PN7C9U6&url=%2FBaBylissPRO-Tourmaline-Titanium-5000-Dryer%2Fdp%2FB002NGMEVC%2Fref%3Dsr_1_106_sspa%3Fdchild%3D1%26keywords%3Dhair%2Bdryer%26qid%3D1592307818%26sr%3D8-106-spons%26psc%3D1&qualifier=1592313582&id=6213191549688123&widgetName=sp_btf#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61S50W3B43L._AC_UL320_.jpg,,75,,,3399,"BARBOZ Hair Dryer, Powerful Home Lonic Hair Blow Dryer for Fast Drying, Foldable Hair Blower with Hot，Warm，Cold Settings and Contains Concentrator and Diffuser, Low Noise, Lightweight",,,/BARBOZ-Powerful-Hot%EF%BC%8CWarm%EF%BC%8CCold-Concentrator-Lightweight/dp/B083GMG8ZK/ref=sr_1_54?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-54#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61WFt3pAZsL._AC_UL320_.jpg,,"2,242",,,7999,"BaBylissPRO BABTT5585 Tourmaline Titanium 3000 Dryer, Red",,,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg6_1?ie=UTF8&adId=A02717703G3FF2R915DY&url=%2FBaBylissPRO-Tourmaline-Titanium-3000-Dryer%2Fdp%2FB002JSL6QI%2Fref%3Dsr_1_297_sspa%3Fdchild%3D1%26keywords%3Dhair%2Bdryer%26qid%3D1592307818%26sr%3D8-297-spons%26psc%3D1&qualifier=1592313581&id=3476812305153864&widgetName=sp_btf#customerReviews
hair dryer,amazonlist,https://m.media-amazon.com/images/I/81fDj+woJ5L._AC_UL320_.jpg,,54,,,3480,"Hair Dryer Stand for Dyson Hair Dryer, Compatible Dyson Hair Dryer Stand hair dryer stand Organizer for Dyson Hair Dryer, Diffuser, Nozzle holder",,,/Compatible-Organizer-Diffuser-Nozzle-holder/dp/B07WHV7Z9J/ref=sr_1_199?dchild=1&keywords=hair+dryer&qid=1592307818&sr=8-199#customerReviews
